goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
0.0;0.21;0.0;2.68;65.79;0.86;52.17;0.21;50.0;1.71;0.25;67.56;3.54;61.88;90;0.75;0.54;0.25;1.0;0.0;0.0;0.0;1.18;0.14;0.0;0.0;0.0;0.0;7.61;0.14;23.29;1.79;1.36;26.57;4.04;44.31;1.32;1.89;0.43;0.0;0.46;0.04;0.21;0.0;0.04;0.0;0.0;0.0;0.0;0.0;Juan Cornejo;Coquimbo Unido
0.33;0.29;0.0;2.87;39.55;0.98;38.71;1.07;39.39;0.33;0.16;66.73;3.85;39.33;90;1.48;1.02;1.39;1.02;0.0;0.0;0.0;1.02;0.2;0.0;0.0;0.0;0.0;5.94;0.41;13.81;1.52;0.33;24.24;0.74;42.86;0.12;0.66;0.45;0.25;3.69;0.9;0.86;8.89;0.12;0.61;0.0;0.0;0.0;0.0;Maximiliano Salas;Palestino
0.0;0.13;0.04;0.22;62.5;0.22;83.33;0.04;100.0;0.04;0.0;58.3;0.45;71.43;90;0.09;0.04;0.0;1.03;3.26;2.1;1.16;0.76;0.13;0.76;0.45;0.36;0.58;1.21;0.0;13.5;0.0;0.0;0.0;6.75;41.37;0.0;0.89;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.04;0.0;0.0;Sebastián Pérez;Unión Española
1.67;1.67;0.0;6.67;80.0;5.0;100.0;5.0;100.0;0.0;0.0;70.0;11.67;87.5;90;1.67;0.0;1.67;6.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;23.33;5.0;1.67;100.0;3.33;66.67;0.0;0.0;0.0;0.0;5.0;1.67;0.0;33.33;0.0;0.0;0.0;0.0;0.0;0.0;Martín Cárcamo;Everton de Viña del Mar
0.12;0.12;0.0;3.89;45.77;0.42;53.85;1.02;39.53;1.56;0.3;81.87;4.31;46.45;90;1.32;0.9;1.68;1.26;0.0;0.0;0.0;1.26;0.12;0.0;0.0;0.0;0.0;13.66;0.18;34.63;2.16;1.56;33.33;2.4;62.5;0.66;0.24;0.54;0.06;1.74;0.84;0.24;6.9;0.12;0.06;0.0;0.0;0.0;0.0;César Pinares;Universidad Católica
0.41;0.16;0.04;1.66;51.25;0.73;48.65;0.24;60.0;0.93;0.12;75.77;2.39;50.43;90;0.49;0.45;0.69;1.1;0.0;0.0;0.0;1.18;0.12;0.0;0.0;0.0;0.0;4.38;0.12;14.97;0.77;0.49;23.53;1.05;47.27;0.77;0.65;0.41;0.28;1.87;0.81;0.28;21.74;0.12;0.2;0.0;0.0;0.0;0.0;Misael Dávila;Palestino
0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.19;0.0;0.0;90;0.0;0.0;0.0;1.61;4.82;4.02;0.8;0.8;0.0;1.61;1.61;0.8;1.61;1.61;0.0;25.71;0.0;0.0;0.0;5.63;41.18;0.0;3.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Martín Parra;Huachipato
0.0;0.1;0.03;0.38;84.62;0.07;100.0;0.03;50.0;0.03;0.0;82.8;0.45;86.67;90;0.31;0.03;0.0;1.01;3.06;1.81;1.22;0.9;0.1;0.84;0.31;0.24;0.31;1.18;0.0;27.98;0.07;0.0;0.0;7.17;56.59;0.03;0.66;0.0;0.0;0.03;0.03;0.0;0.0;0.0;0.0;0.0;0.03;0.07;0.0;Gabriel Castellón;Huachipato
0.47;0.28;0.0;6.89;48.05;0.28;17.65;4.01;69.35;1.77;0.09;81.16;7.17;45.03;90;1.12;2.24;2.89;1.58;0.0;0.0;0.0;1.3;0.28;0.0;0.0;0.0;0.0;10.9;0.28;24.88;1.21;0.19;22.22;0.93;55.56;0.47;0.09;0.93;0.28;2.98;1.58;0.65;15.63;0.19;0.09;;0.0;0.0;0.0;Lautaro Pastrán;Everton de Viña del Mar
0.0;0.21;0.0;0.07;50.0;0.35;100.0;0.0;0.0;0.0;0.0;78.27;0.42;85.71;90;0.07;0.07;0.0;1.05;3.69;2.02;1.6;1.19;0.07;0.98;0.21;0.21;0.21;1.67;0.0;25.86;0.07;0.0;0.0;12.06;63.6;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;Matías Dituro;Universidad Católica
